1	Revista	Revista	NNP	PERSON	Revista	nn	5	1	['P1,1456 82 1530 101']
2	Mexicana	Mexicans	NNP	PERSON	Mexicana	nn	5	1	['P1,1541 81 1638 101']
3	de	de	IN	PERSON	de	amod	5	1	['P1,1647 82 1670 101']
4	Ciencias	Ciencias	NNP	PERSON	Ciencias	nn	5	1	['P1,1680 82 1765 101']
5	Geol?gicas	Geotogicas	NNP	PERSON	Geol?gicas	_	0	1	['P1,1776 81 1892 106']
6	,	,	,	O	,	_	0	1	['P1,1776 81 1892 106']
7	volumen	volumen	NNP	O	volumen	dep	5	1	['P1,1903 81 1989 101']
8	14	14	CD	NUMBER	14	num	7	1	['P1,2002 82 2029 103']
9	,	,	,	O	,	_	0	1	['P1,2002 82 2029 103']
10	n?mero	numero	NN	O	n?mero	appos	7	1	['P1,2039 81 2115 100']
11	2	2	CD	NUMBER	2	num	10	1	['P1,2125 81 2143 103']
12	,	,	,	O	,	_	0	1	['P1,2125 81 2143 103']

1	178	178	CD	NUMBER	178	num	2	2	['P1,10 105 54 129']
2	1997	1997	CD	DATE	1997	_	0	2	['P1,1458 116 1510 136']
3	,	,	,	O	,	_	0	2	['P1,1458 116 1510 136']
4	p.	ix	NN	O	p.	appos	2	2	['P1,1517 121 1534 138']
5	17	17	CD	NUMBER	17	num	4	2	['P1,1545 115 1633 133']
6	&	S	CC	O	&	_	0	2	['P1,1545 115 1633 133']
7	2o1	-20	CD	NUMBER	2o1	conj_and	4	2	['P1,1545 115 1633 133']
8	.	1.	.	O	.	_	0	2	['P1,1545 115 1633 133']

1	Universidad	Univcrsidad	NNP	ORGANIZATION	Universidad	nn	5	3	['P1,1457 146 1576 164']
2	Nacional	tsacional	NNP	ORGANIZATION	Nacional	nn	5	3	['P1,1586 146 1674 164']
3	Aut?noma	Autonoma	NNP	ORGANIZATION	Aut?noma	nn	5	3	['P1,1685 146 1788 164']
4	de	de	IN	O	de	amod	5	3	['P1,1798 146 1820 164']
5	M?xico	Mexico	NNP	O	M?xico	_	0	3	['P1,1832 146 1911 167']
6	,	,	,	O	,	_	0	3	['P1,1832 146 1911 167']
7	lnstitulo	Instituto	NNP	O	lnstitulo	nn	9	3	['P1,1922 145 2003 164']
8	de	de	IN	O	de	amod	9	3	['P1,2014 145 2036 163']
9	Geologia	Geologla	NNP	O	Geologia	appos	5	3	['P1,2046 145 2142 169']
10	,	,	,	O	,	_	0	3	['P1,2046 145 2142 169']
11	Mexico	Mexico	NNP	LOCATION	Mexico	appos	5	3	['P1,1455 172 1535 193']
12	,	,	,	O	,	_	0	3	['P1,1455 172 1535 193']
13	D.F.	D.F.	NNP	O	D.F.	appos	5	3	['P1,1543 172 1585 189']

1	LATE	LATE	JJ	O	late	amod	2	4	['P1,79 252 216 292']
2	TRIASSIC	TRIASSIC	NN	O	triassic	_	0	4	['P1,233 253 485 294']
3	AND	AND	CC	O	and	_	0	4	['P1,502 253 624 294']
4	EARLY	EARLY	NN	O	early	nn	5	4	['P1,640 220 825 294']
5	IURASSICA	JURASSIC	NN	O	iurassica	conj_and	2	4	['P1,840 227 1104 295']
6	BIVALVES	BIVALVES	NNS	O	bivalve	dep	2	4	['P1,1119 254 1386 295']
7	FROM	FROM	IN	O	from	_	0	4	['P1,1404 254 1565 295']
8	SONORA	SONORA	NNP	LOCATION	SONORA	nn	10	4	['P1,1583 254 1827 303']
9	,	,	,	O	,	_	0	4	['P1,1583 254 1827 303']
10	MEXICO	MEXICO	NNP	LOCATION	MEXICO	prep_from	6	4	['P1,1846 220 2068 294']

1	Susana	Susana	NNP	PERSON	Susana	nn	3	5	['P1,1657 361 1773 390']
2	E.	E.	NNP	PERSON	E.	nn	3	5	['P1,1784 361 1816 389']
3	Damboreneal	DamboreneaJ	NNP	PERSON	Damboreneal	_	0	5	['P1,1829 352 2066 393']
4	,	,	,	O	,	_	0	5	['P1,1829 352 2066 393']
5	and	and	CC	O	and	_	0	5	['P1,2081 359 2145 389']
6	Carlos	Carlos	NNP	PERSON	Carlos	nn	7	5	['P1,1704 403 1813 432']
7	M	M.	NN	O	m	conj_and	3	5	['P1,1822 404 1864 432']
8	Gonzdlez-Le0	Gonzalez-Ieo	NN	O	gonzdlez-le0	nn	10	5	['P1,1881 395 2142 432']
9	'	n	''	O	'	_	0	5	['P1,1881 395 2142 432']
10	n2	2	NN	O	n2	dep	3	5	['P1,1881 395 2142 432']

1	ABSTRACT	ABSTRACT	NN	O	abstract	_	0	6	['P1,988 477 1158 515']

1	Four	Four	CD	NUMBER	four	num	2	7	['P1,452 573 514 596']
2	species	species	NNS	O	species	nsubjpass	19	7	['P1,526 572 619 602']
3	of	of	IN	O	of	_	0	7	['P1,633 572 664 596']
4	bivalves	bivalves	NNS	O	bivalve	prep_of	2	7	['P1,673 572 781 597']
5	from	from	IN	O	from	_	0	7	['P1,795 573 858 597']
6	the	the	DT	O	the	det	8	7	['P1,871 573 910 597']
7	Antimonio	Antimonio	NNP	O	Antimonio	nn	8	7	['P1,923 573 1066 597']
8	Formation	Formation	NN	O	formation	prep_from	4	7	['P1,1079 573 1215 597']
9	at	at	IN	O	at	_	0	7	['P1,1228 576 1251 597']
10	Sierra	Sierra	NNP	LOCATION	Sierra	nn	12	7	['P1,1265 573 1343 597']
11	del	del	NNP	LOCATION	del	nn	12	7	['P1,1355 573 1395 597']
12	Alamo	Alatn	NNP	LOCATION	Alamo	prep_at	8	7	['P1,1407 566 1504 601']
13	,	o,	,	O	,	_	0	7	['P1,1407 566 1504 601']
14	Sonora	Sonora	NNP	LOCATION	Sonora	nn	16	7	['P1,1519 573 1618 601']
15	,	,	,	O	,	_	0	7	['P1,1519 573 1618 601']
16	Mexico	Mexico	NNP	LOCATION	Mexico	appos	12	7	['P1,1632 573 1739 601']
17	,	,	,	O	,	_	0	7	['P1,1632 573 1739 601']
18	are	are	VBP	O	be	auxpass	19	7	['P1,1753 580 1792 596']
19	described	described	VBN	O	describe	_	0	7	['P1,352 611 484 635']
20	.	.	.	O	.	_	0	7	['P1,352 611 484 635']

1	Two	Two	CD	NUMBER	two	nsubj	12	8	['P1,495 612 553 635']
2	of	of	IN	O	of	_	0	8	['P1,563 612 594 636']
3	them	them	PRP	O	they	prep_of	1	8	['P1,598 612 670 641']
4	,	,	,	O	,	_	0	8	['P1,598 612 670 641']
5	Mysidioptera	Mytddioptera	NNP	O	Mysidioptera	nn	6	8	['P1,680 612 853 643']
