9	Late	Late	JJ	MISC	late	amod	11	7	['P1,962 931 1025 956']
10	Cretaceus	Cretaceus	NN	MISC	cretaceus	nn	11	7	['P1,1035 931 1183 956']
11	dinosaur	dinosaur	NN	O	dinosaur	prep_of	6	7	['P1,1195 930 1329 955']
12	from	from	IN	O	from	_	0	7	['P1,1340 929 1411 955']
13	Australia	Australia	NNP	LOCATION	Australia	prep_from	11	7	['P1,1423 928 1570 957']
14	,	,	,	O	,	_	0	7	['P1,1423 928 1570 957']
15	and	and	CC	O	and	_	0	7	['P1,1582 927 1636 953']
16	the	the	DT	O	the	det	19	7	['P1,470 969 515 994']
17	first	first	JJ	ORDINAL	first	amod	19	7	['P1,526 969 585 995']
18	dinosaur	dinosaur	NN	O	dinosaur	nn	19	7	['P1,595 969 731 995']
19	bone	bone	NN	O	bone	nsubj	20	7	['P1,740 969 813 995']
20	recovered	recovered	VBD	O	recover	conj_and	6	7	['P1,823 968 970 994']
21	from	from	IN	O	from	_	0	7	['P1,983 968 1053 993']
22	the	the	DT	O	the	det	24	7	['P1,1066 968 1110 993']
23	Perth	Perth	NNP	LOCATION	Perth	nn	24	7	['P1,1121 968 1200 993']
24	Basin	Basin	NNP	LOCATION	Basin	prep_from	20	7	['P1,1211 968 1298 993']
25	.	.	.	O	.	_	0	7	['P1,1211 968 1298 993']

1	INTRODUCTION	INTRODUCTION	NN	O	introduction	_	0	8	['P1,421 1154 742 1182']

1	Dinosaur	Dinosaur	NN	O	dinosaur	nn	2	9	['P1,180 1210 335 1238']
2	remains	remains	NNS	O	remains	nsubj	5	9	['P1,351 1211 486 1239']
3	are	are	VBP	O	be	cop	5	9	['P1,501 1219 551 1239']
4	extremely	extremely	RB	O	extremely	advmod	5	9	['P1,567 1210 733 1248']
5	rare	rare	JJ	O	rare	_	0	9	['P1,749 1219 814 1239']
6	in	in	IN	O	in	_	0	9	['P1,830 1211 861 1238']
7	Western	Western	NNP	LOCATION	Western	nn	8	9	['P1,875 1210 1013 1238']
8	Australia	Australia	NNP	LOCATION	Australia	prep_in	5	9	['P1,148 1255 309 1284']
9	.	.	.	O	.	_	0	9	['P1,148 1255 309 1284']

1	Only	Only	RB	O	only	advmod	3	10	['P1,331 1256 415 1294']
2	two	two	CD	NUMBER	two	num	3	10	['P1,436 1260 499 1284']
3	bones	bones	NNS	O	bone	nsubjpass	7	10	['P1,519 1255 617 1285']
4	have	have	VBP	O	have	aux	7	10	['P1,637 1255 716 1285']
5	been	been	VBN	O	be	auxpass	7	10	['P1,737 1255 815 1284']
6	previously	previously	RB	DATE	previously	advmod	7	10	['P1,834 1255 1012 1294']
7	recorded	recorded	VBN	O	record	_	0	10	['P1,149 1300 309 1334']
8	,	,	,	O	,	_	0	10	['P1,149 1300 309 1334']
9	a	a	DT	O	a	det	12	10	['P1,332 1310 349 1329']
10	sauropod	sauropod	JJ	O	sauropod	amod	12	10	['P1,373 1302 535 1340']
11	caudal	caudal	JJ	O	caudal	amod	12	10	['P1,558 1301 672 1330']
12	vertebra	vertebra	NN	O	vertebra	dobj	7	10	['P1,694 1301 836 1329']
13	from	from	IN	O	from	_	0	10	['P1,859 1300 940 1329']
14	the	the	DT	O	the	det	18	10	['P1,963 1301 1013 1328']
15	Middle	Middle	NNP	LOCATION	Middle	amod	16	10	['P1,149 1346 271 1374']
16	lurassic	Jurassic	JJ	O	lurassic	amod	18	10	['P1,293 1347 427 1381']
17	Colalura	Colalura	NNP	O	Colalura	nn	18	10	['P1,450 1347 599 1374']
18	Sandstone	Sandstone	NNP	O	Sandstone	prep_from	12	10	['P1,622 1347 798 1375']
19	exposed	exposed	VBN	O	expose	partmod	18	10	['P1,821 1346 960 1384']
20	at	at	IN	O	at	_	0	10	['P1,983 1350 1013 1374']
21	Bringo	Bringo	NNP	O	Bringo	prep_at	19	10	['P1,150 1392 262 1429']
22	Cutting	Cutting	VBG	O	cut	partmod	21	10	['P1,284 1392 425 1430']
23	,	,	,	O	,	_	0	10	['P1,284 1392 425 1430']
24	near	near	IN	O	near	_	0	10	['P1,447 1401 524 1420']
