                 about                about ['P1,1596 938 1669 962']
               1,500-m              1,500-m ['P1,1685 936 1793 965']
                 thick                thick ['P1,1804 934 1878 962']
                     ,                    , ['P1,1804 934 1878 962']
              composed             composed ['P1,415 996 549 1028']
                    of                   of ['P1,559 996 590 1020']
         shallow-water        shallow-water ['P1,598 995 787 1020']
                  lime                 lime ['P1,798 993 856 1016']
              mudstone             mudstone ['P1,866 991 996 1015']
                   and                  and ['P1,1007 988 1055 1014']
                 minor                minor ['P1,1066 988 1145 1013']
            wackestone           wackestone ['P1,1155 987 1318 1013']
                     ,                    , ['P1,1155 987 1318 1013']
             packstone            packstone ['P1,1330 983 1470 1015']
                     ,                    , ['P1,1330 983 1470 1015']
                   and                  and ['P1,1483 981 1530 1006']
            bioclastic           bioclastic ['P1,1541 979 1667 1005']
             packstone            packstone ['P1,1680 978 1819 1009']
                     ,                    , ['P1,1680 978 1819 1009']
                   and                  and ['P1,1831 975 1880 1000']
                 range                range ['P1,415 1048 487 1071']
                    in                   in ['P1,499 1040 523 1063']
                   age                  age ['P1,533 1046 578 1069']
                  from                 from ['P1,588 1038 653 1062']
                  Late                 Late ['P1,662 1038 721 1061']
         Mississippian        Mississippian ['P1,731 1034 914 1065']
                    to                   to ['P1,923 1037 948 1057']
                Middle               Middle ['P1,959 1031 1054 1056']
         Pennsylvanian        Pennsylvanian ['P1,1064 1029 1264 1061']
                     .                    . ['P1,1064 1029 1264 1061']
                  Unit                 Unit ['P1,1276 1027 1335 1052']
                     6                    6 ['P1,1346 1026 1360 1050']
                    is                   is ['P1,1371 1026 1392 1049']
                 about                about ['P1,1403 1025 1475 1049']
                   110                  110 ['P1,1490 1024 1545 1047']
                     -                    - ['P1,1490 1024 1545 1047']
                    to                   to ['P1,1556 1026 1581 1047']
                 120-m                120-m ['P1,1595 1022 1677 1046']
                 thick                thick ['P1,1688 1020 1754 1044']
                   and                  and ['P1,1764 1019 1811 1043']
X             consists            con-sists ['P1,1821 1026 1879 1042', 'P1,416 1083 472 1107']
                    of                   of ['P1,487 1081 517 1106']
                     a                    a ['P1,527 1089 541 1105']
           distinctive          distinctive ['P1,555 1079 695 1105']
         shallow-water        shallow-water ['P1,710 1078 901 1102']
             packstone            packstone ['P1,913 1075 1049 1106']
                  with                 with ['P1,1062 1073 1121 1097']
              abundant             abundant ['P1,1136 1071 1258 1096']
            fusulinids           fusulinids ['P1,1273 1068 1404 1093']
                   and                  and ['P1,1420 1067 1467 1091']
           pelmatozoan          pelmatozoan ['P1,1480 1066 1653 1097']
              detritus             detritus ['P1,1667 1062 1775 1087']
                     .                    . ['P1,1667 1062 1775 1087']
                  Unit                 Unit ['P1,1789 1060 1849 1085']
                     7                    7 ['P1,1863 1061 1877 1084']
               appears              appears ['P1,416 1131 516 1156']
                    to                   to ['P1,529 1127 553 1147']
                   lie                  lie ['P1,567 1123 599 1146']
        depositionally       depositionally ['P1,612 1120 800 1153']
                    on                   on ['P1,812 1127 845 1143']
                  unit                 unit ['P1,856 1118 909 1143']
                     6                    6 ['P1,921 1118 936 1142']
                   and                  and ['P1,949 1117 998 1141']
                    is                   is ['P1,1009 1116 1031 1141']
                    at                   at ['P1,1043 1119 1068 1140']
                 least                least ['P1,1079 1116 1139 1140']
                 610-m                610-m ['P1,1152 1114 1237 1138']
                 thick                thick ['P1,1250 1112 1323 1136']
                     .                    . ['P1,1250 1112 1323 1136']
                    It                   It ['P1,1337 1112 1357 1134']
              consists             consists ['P1,1370 1109 1473 1134']
                    of                   of ['P1,1487 1108 1517 1132']
            relatively           relatively ['P1,1526 1106 1651 1137']
            deep-water           deep-water ['P1,1664 1105 1812 1136']
                 silty                silty ['P1,1825 1102 1881 1133']
             limestone            limestone ['P1,417 1167 552 1194']
                     ,                    , ['P1,417 1167 552 1194']
                 sandy                sandy ['P1,564 1165 641 1194']
             limestone            limestone ['P1,651 1164 787 1190']
                     ,                    , ['P1,651 1164 787 1190']
                  limy                 limy ['P1,798 1161 859 1191']
             siltstone            siltstone ['P1,869 1160 987 1187']
                     ,                    , ['P1,869 1160 987 1187']
                   and                  and ['P1,998 1158 1047 1182']
                  limy                 limy ['P1,1056 1158 1116 1188']
                  very                 very ['P1,1126 1164 1185 1186']
X          ?ne-grained         fine-grained ['P1,1196 1153 1358 1185']
             sandstone            sandstone ['P1,1369 1151 1506 1179']
                     ,                    , ['P1,1369 1151 1506 1179']
                   and                  and ['P1,1518 1149 1565 1174']
           interbedded          interbedded ['P1,1576 1146 1733 1172']
                   0.5                  0.5 ['P1,1743 1147 1781 1170']
                    to                   to ['P1,1794 1149 1818 1169']
X           2.5m-thick          2.5-m-thick ['P1,1829 1145 1881 1169', 'P1,417 1207 520 1231']
                layers               layers ['P1,529 1207 607 1236']
                    of                   of ['P1,617 1205 648 1229']
          conglomerate         conglomerate ['P1,654 1204 834 1234']
                   and                  and ['P1,844 1202 892 1226']
           calcarenite          calcarenite ['P1,900 1200 1052 1227']
                     ,                    , ['P1,900 1200 1052 1227']
              commonly             commonly ['P1,1062 1197 1203 1227']
            containing           containing ['P1,1214 1195 1353 1224']
              detrital             detrital ['P1,1363 1193 1455 1217']
            fusulinids           fusulinids ['P1,1467 1190 1603 1216']
                     .                    . ['P1,1467 1190 1603 1216']
                   The                  The ['P1,1615 1190 1665 1213']
              detrital             detrital ['P1,1676 1188 1768 1212']
X           fusulinids          fusulin-ids ['P1,1779 1186 1881 1211', 'P1,418 1249 455 1273']
                   are                  are ['P1,467 1256 506 1272']
                  late                 late ['P1,517 1248 564 1271']
                 Early                Early ['P1,575 1246 648 1276']
                    or                   or ['P1,658 1253 686 1269']
                Middle               Middle ['P1,696 1244 792 1268']
               Permian              Permian ['P1,802 1243 914 1267']
                    in                   in ['P1,925 1242 950 1265']
                   age                  age ['P1,961 1248 1006 1271']
                   and                  and ['P1,1018 1240 1066 1264']
            considered           considered ['P1,1076 1238 1220 1264']
                    to                   to ['P1,1230 1242 1255 1261']
              indicate             indicate ['P1,1267 1236 1371 1260']
                   the                  the ['P1,1383 1235 1422 1258']
           approximate          approximate ['P1,1435 1233 1599 1263']
                   age                  age ['P1,1612 1238 1656 1261']
                    of                   of ['P1,1668 1230 1698 1253']
            deposition           deposition ['P1,1706 1228 1844 1259']
                    of                   of ['P1,1855 1227 1886 1250']
                  unit                 unit ['P1,417 1289 469 1314']
                     7                    7 ['P1,479 1289 500 1313']
                     .                    . ['P1,479 1289 500 1313']
                   The                  The ['P1,518 1329 569 1354']
                 lower                lower ['P1,582 1329 657 1353']
                 plate                plate ['P1,668 1327 731 1360']
                 rocks                rocks ['P1,742 1326 814 1351']
               consist              consist ['P1,825 1324 918 1350']
                    of                   of ['P1,929 1323 960 1349']
                    at                   at ['P1,968 1327 990 1348']
                 least                least ['P1,1003 1323 1063 1347']
                   544                  544 ['P1,1075 1322 1122 1347']
                     m                    m ['P1,1134 1328 1160 1345']
                    of                   of ['P1,1171 1320 1201 1345']
                 Upper                Upper ['P1,1209 1320 1293 1351']
              Triassic             Triassic ['P1,1304 1316 1407 1342']
                   and                  and ['P1,1421 1315 1467 1340']
                 Lower                Lower ['P1,1479 1315 1565 1339']
              Jurassic             Jurassic ['P1,1576 1312 1680 1338']
                strata               strata ['P1,1693 1314 1764 1336']
              overlain             overlain ['P1,1776 1309 1884 1335']
                    by                   by ['P1,418 1373 452 1405']
                 about                about ['P1,462 1373 535 1398']
                   600                  600 ['P1,544 1372 592 1396']
                     m                    m ['P1,602 1378 628 1395']
                    of                   of ['P1,637 1369 668 1395']
              Mesozoic             Mesozoic ['P1,674 1368 801 1394']
             andesitic            andesitic ['P1,811 1366 928 1393']
                 rocks                rocks ['P1,938 1365 1017 1390']
                     .                    . ['P1,938 1365 1017 1390']
                 Upper                Upper ['P1,1027 1365 1110 1396']
              Triassic             Triassic ['P1,1119 1362 1223 1388']
                   and                  and ['P1,1234 1361 1281 1386']
                   the                  the ['P1,1291 1360 1330 1385']
                 Lower                Lower ['P1,1340 1360 1427 1384']
              Jurassic             Jurassic ['P1,1436 1356 1539 1382']
                strata               strata ['P1,1551 1358 1622 1380']
               consist              consist ['P1,1631 1353 1723 1379']
                    of                   of ['P1,1732 1352 1762 1377']
                     a                    a ['P1,1769 1360 1783 1377']
               variety              variety ['P1,1792 1351 1884 1382']
                    of                   of ['P1,420 1415 451 1441']
                  rock                 rock ['P1,461 1414 520 1440']
                 types                types ['P1,533 1417 604 1445']
             including            including ['P1,619 1411 746 1443']
