           Segnosaurus          Segnosaurus ['P1,441 772 625 795']
X          galbinensis          gaLbinensis ['P1,641 771 805 795']
                 Perle                Perle ['P1,821 770 905 794']
                     ,                    , ['P1,821 770 905 794']
                  1979                 1979 ['P1,922 771 972 790']
                   and                  and ['P1,989 771 1041 790']
                    of                   of ['P1,1057 771 1085 790']
                     a                    a ['P1,1102 775 1116 790']
           fragmentary          fragmentary ['P1,1134 771 1319 794']
                pelvis               pelvis ['P1,1337 770 1421 794']
            determined           determined ['P1,1438 770 1606 790']
                    on                   on ['P1,1623 775 1657 790']
                   the                  the ['P1,1674 771 1719 789']
          infraordinal         infraordinal ['P1,442 806 621 825']
                 level                level ['P1,640 806 709 825']
                   are                  are ['P1,728 810 773 825']
              included             included ['P1,791 805 925 825']
                     .                    . ['P1,791 805 925 825']
                     K                    K ['P1,437 842 459 861']
                     e                    e ['P1,471 846 484 860']
                     y                    y ['P1,497 847 512 865']
                     w                    w ['P1,545 846 568 860']
                     o                    o ['P1,580 846 594 861']
                     r                    r ['P1,607 847 618 860']
                     d                    d ['P1,630 842 644 861']
                     s                    s ['P1,656 846 677 861']
                     :                    : ['P1,656 846 677 861']
            Dinosauria           Dinosauria ['P1,709 841 875 865']
                     ,                    , ['P1,709 841 875 865']
            Saurischia           Saurischia ['P1,896 842 1058 864']
                     ,                    , ['P1,896 842 1058 864']
             Theropoda            Theropoda ['P1,1077 842 1244 866']
                     ,                    , ['P1,1077 842 1244 866']
            Cretaceous           Cretaceous ['P1,1266 843 1434 865']
                     ,                    , ['P1,1266 843 1434 865']
              Mongolia             Mongolia ['P1,1456 841 1597 866']
                     .                    . ['P1,1456 841 1597 866']
               Rinchen              Rinchen ['P1,438 877 555 897']
X             Barsbold             BarsboLd ['P1,571 878 708 900']
                     ,                    , ['P1,571 878 708 900']
X           Altangerel           ALtangerel ['P1,726 879 880 902']
X                Perle                Perte ['P1,896 879 979 900']
X                    .                    , ['P1,896 879 979 900']
            Department           Department ['P1,996 879 1171 902']
                    of                   of ['P1,1186 878 1214 901']
X        Palaeontology        PaLaeontology ['P1,1230 878 1439 902']
                   and                  and ['P1,1454 879 1505 898']
X         Stratigraphy         Stratigraplt ['P1,1522 878 1717 902']
X                    ,                   y, ['P1,1522 878 1717 902']
X           Geological          Geological. ['P1,441 913 594 936']
             Institute            Institute ['P1,622 913 756 936']
                     ,                    , ['P1,622 913 756 936']
X            Mongolian            Mongoltan ['P1,784 913 939 937']
               Academy              Academy ['P1,967 913 1103 937']
                    of                   of ['P1,1132 914 1160 937']
              Sciences             Sciences ['P1,1187 913 1320 936']
                     ,                    , ['P1,1187 913 1320 936']
X                 Ulan                 Vien ['P1,1350 914 1416 932']
                 Bator                Bator ['P1,1446 914 1535 935']
                     ,                    , ['P1,1446 914 1535 935']
             Mongolian            Mongolian ['P1,1565 913 1717 936']
                People               People ['P1,442 948 561 971']
                    's                   's ['P1,442 948 561 971']
