              Stooping             Stooping ['P1,1927 601 2053 632']
                 River                River ['P1,2062 601 2138 627']
                     (                    ( ['P1,24 644 130 675']
                mainly               mainly ['P1,24 644 130 675']
             limestone            limestone ['P1,140 644 284 675']
                     )                    ) ['P1,140 644 284 675']
                   and                  and ['P1,296 644 347 669']
               Sextant              Sextant ['P1,360 645 464 670']
                     (                    ( ['P1,476 645 639 675']
            sandstones           sandstones ['P1,476 645 639 675']
                   and                  and ['P1,650 645 702 670']
                shales               shales ['P1,714 645 808 675']
                     )                    ) ['P1,714 645 808 675']
            Formations           Formations ['P1,819 643 993 673']
                     ;                    ; ['P1,819 643 993 673']
                Middle               Middle ['P1,1006 644 1105 669']
              Devonian             Devonian ['P1,1116 644 1253 669']
         Kwataboahegan        Kwataboahegan ['P1,1264 644 1491 674']
                     (                    ( ['P1,1502 644 1667 674']
             limestone            limestone ['P1,1502 644 1667 674']
                     )                    ) ['P1,1502 644 1667 674']
                     ,                    , ['P1,1502 644 1667 674']
                 Moose                Moose ['P1,1680 644 1774 668']
                 River                River ['P1,1785 643 1860 668']
                     (                    ( ['P1,1872 643 2044 674']
            carbonates           carbonates ['P1,1872 643 2044 674']
                     ,                    , ['P1,1872 643 2044 674']
X           evaporites           evap-orite ['P1,2057 650 2139 673', 'P1,24 685 120 716']
X                    )                    s ['P1,2057 650 2139 673', 'P1,24 685 120 716']
X                    ,                   ), ['P1,2057 650 2139 673', 'P1,24 685 120 716']
                Murray               Murray ['P1,131 685 237 715']
                Island               Island ['P1,246 685 333 710']
                     (                    ( ['P1,342 685 497 716']
             limestone            limestone ['P1,342 685 497 716']
                     )                    ) ['P1,342 685 497 716']
                   and                  and ['P1,507 685 559 710']
              Williams             Williams ['P1,568 685 693 711']
                Island               Island ['P1,703 685 790 711']
                     (                    ( ['P1,799 685 889 716']
                 shale                shale ['P1,799 685 889 716']
                     ,                    , ['P1,799 685 889 716']
            carbonates           carbonates ['P1,900 684 1064 715']
                     )                    ) ['P1,900 684 1064 715']
            Formations           Formations ['P1,1072 684 1246 714']
                     ;                    ; ['P1,1072 684 1246 714']
                   and                  and ['P1,1257 684 1308 709']
                   the                  the ['P1,1317 684 1361 710']
                 Upper                Upper ['P1,1369 685 1458 715']
              Devonian             Devonian ['P1,1467 684 1603 709']
                  Long                 Long ['P1,1612 685 1686 715']
