             echinoids            echinoids ['P1,1920 970 2079 1001']
              comprise             comprise ['P1,80 1019 232 1056']
                   two                  two ['P1,246 1021 306 1048']
                   new                  new ['P1,320 1027 390 1048']
               species              species ['P1,405 1018 534 1055']
                     ,                    , ['P1,405 1018 534 1055']
         Huttonechinus        Huttonechinus ['P1,546 1016 801 1047']
            antarctica           antarctica ['P1,814 1016 989 1046']
                  nov.                 nov. ['P1,1004 1025 1068 1045']
                    sp                   sp ['P1,1082 1025 1127 1053']
                     .                    . ['P1,1082 1025 1127 1053']
                   and                  and ['P1,1141 1015 1204 1045']
    Nordenskjoeldaster   Nordenskjoeldaster ['P1,1215 1014 1549 1052']
                     ?                    ? ['P1,1562 1014 1577 1044']
             australis            australis ['P1,1590 1014 1742 1044']
                  nov.                 nov. ['P1,1756 1023 1821 1044']
                   sp.                  sp. ['P1,1835 1023 1891 1051']
                     ,                    , ['P1,1835 1023 1891 1051']
             specimens            specimens ['P1,1905 1014 2079 1051']
               closely              closely ['P1,80 1061 193 1098']
               related              related ['P1,205 1060 327 1091']
                    to                   to ['P1,339 1063 370 1091']
                    an                   an ['P1,384 1070 426 1090']
              European             European ['P1,438 1060 607 1097']
            spatangoid           spatangoid ['P1,621 1059 819 1097']
                     ,                    , ['P1,621 1059 819 1097']
             Micraster            Micraster ['P1,830 1059 997 1089']
X                  aff                   aK ['P1,1010 1058 1060 1088']
.                    .                      ['P1,1010 1058 1060 1088']
X            regularis            reguiaris ['P1,1073 1058 1232 1095']
                     ,                    , ['P1,1073 1058 1232 1095']
                   and                  and ['P1,1247 1057 1310 1088']
                 three                three ['P1,1321 1057 1411 1087']
                  taxa                 taxa ['P1,1424 1059 1499 1087']
                  that                 that ['P1,1511 1057 1582 1087']
                   can                  can ['P1,1594 1059 1710 1087']
                   not                  not ['P1,1594 1059 1710 1087']
                    be                   be ['P1,1721 1057 1759 1087']
                 named                named ['P1,1771 1056 1887 1087']
                    at                   at ['P1,1900 1059 1933 1087']
                   the                  the ['P1,1944 1056 1998 1086']
X              speci?c            spe-cific ['P1,2011 1066 2079 1094', 'P1,80 1104 148 1134']
                 level                level ['P1,161 1103 241 1134']
                 owing                owing ['P1,255 1103 357 1141']
                    to                   to ['P1,370 1105 402 1133']
                  poor                 poor ['P1,416 1112 492 1140']
          preservation         preservation ['P1,505 1102 733 1140']
                     .                    . ['P1,505 1102 733 1140']
                    In                   In ['P1,749 1102 785 1131']
                 total                total ['P1,799 1101 888 1137']
                     ,                    , ['P1,799 1101 888 1137']
                   the                  the ['P1,901 1101 955 1131']
                 fauna                fauna ['P1,970 1101 1068 1131']
             comprises            comprises ['P1,1082 1100 1251 1138']
                 three                three ['P1,1265 1100 1355 1130']
               species              species ['P1,1369 1100 1489 1137']
                    of                   of ['P1,1504 1099 1537 1129']
               regular              regular ['P1,1546 1099 1673 1137']
             echinoids            echinoids ['P1,1687 1099 1856 1135']
                     ,                    , ['P1,1687 1099 1856 1135']
X                  ?ve                 five ['P1,1870 1099 1931 1129']
X         holasteroids         holaste-roid ['P1,1944 1099 2079 1130', 'P1,80 1146 173 1182']
X                    ,                   s, ['P1,1944 1099 2079 1130', 'P1,80 1146 173 1182']
                   and                  and ['P1,188 1146 251 1176']
                   two                  two ['P1,265 1148 326 1176']
           spatangoids          spatangoids ['P1,342 1145 557 1183']
                     .                    . ['P1,342 1145 557 1183']
                   The                  The ['P1,571 1144 637 1174']
                   ten                  ten ['P1,652 1147 707 1174']
                  taxa                 taxa ['P1,722 1147 798 1174']
                 range                range ['P1,812 1153 909 1181']
                    in                   in ['P1,924 1144 957 1173']
                   age                  age ['P1,973 1152 1030 1181']
                  from                 from ['P1,1045 1143 1124 1173']
             Santonian            Santonian ['P1,1139 1143 1316 1173']
                    to                   to ['P1,1330 1145 1361 1172']
                 Early                Early ['P1,1376 1142 1472 1179']
         Maastrichtian        Maastrichtian ['P1,1486 1142 1741 1172']
                     .                    . ['P1,1486 1142 1741 1172']
                   The                  The ['P1,1754 1142 1819 1173']
               richest              richest ['P1,1834 1141 1951 1172']
                faunas               faunas ['P1,1965 1141 2079 1171']
                   are                  are ['P1,81 1199 135 1219']
                 those                those ['P1,149 1188 240 1219']
X           associated          associated. ['P1,255 1187 433 1218']
                  with                 with ['P1,446 1187 525 1217']
                   the                  the ['P1,540 1187 595 1217']
X              proli?c             prolific ['P1,610 1187 732 1225']
            Gunnarites           Gunnarites ['P1,748 1186 940 1217']
X          antarcticus          antarctieus ['P1,955 1186 1147 1216']
              ammonite             ammonite ['P1,1164 1186 1335 1215']
            assemblage           assemblage ['P1,1351 1184 1557 1222']
                     .                    . ['P1,1351 1184 1557 1222']
               Several              Several ['P1,1572 1184 1701 1214']
                 forms                forms ['P1,1715 1184 1812 1214']
                  show                 show ['P1,1828 1184 1913 1214']
X            af?nities           affinities ['P1,1929 1184 2079 1214']
                  with                 with ['P1,79 1231 157 1261']
             Australia            Australia ['P1,168 1230 340 1267']
                     ,                    , ['P1,168 1230 340 1267']
                   New                  New ['P1,354 1230 431 1260']
               Zealand              Zealand ['P1,445 1229 594 1266']
                     ,                    , ['P1,445 1229 594 1266']
            south-east           south-east ['P1,609 1229 789 1260']
                Africa               Africa ['P1,800 1228 905 1259']
                   and                  and ['P1,919 1228 982 1258']
                 South                South ['P1,996 1228 1096 1258']
               America              America ['P1,1108 1228 1260 1258']
                     .                    . ['P1,1108 1228 1260 1258']
                 There                There ['P1,1272 1227 1372 1257']
                   are                  are ['P1,1387 1237 1440 1257']
           indications          indications ['P1,1454 1227 1642 1257']
                  that                 that ['P1,1656 1227 1728 1257']
                  this                 this ['P1,1741 1226 1806 1257']
                    is                   is ['P1,1819 1227 1846 1257']
                    an                   an ['P1,1861 1236 1902 1256']
X          essentially         essential-ly ['P1,1916 1226 2080 1256', 'P1,80 1274 111 1312']
                  deep                 deep ['P1,124 1274 202 1312']
                 shelf                shelf ['P1,216 1273 302 1304']
              echinoid             echinoid ['P1,311 1273 455 1304']
                 fauna                fauna ['P1,468 1272 576 1303']
                     .                    . ['P1,468 1272 576 1303']
              KEYWORDS             KEYWORDS ['P1,81 1354 303 1383']
                     :                    : ['P1,81 1354 303 1383']
             ECHINOIDS            ECHINOIDS ['P1,316 1353 540 1388']
                     ,                    , ['P1,316 1353 540 1388']
              SENONIAN             SENONIAN ['P1,553 1352 762 1387']
                     ,                    , ['P1,553 1352 762 1387']
                 JAMES                JAMES ['P1,774 1352 898 1381']
                  ROSS                 ROSS ['P1,912 1352 1007 1380']
                 BASIN                BASIN ['P1,1020 1351 1141 1386']
                     ,                    , ['P1,1020 1351 1141 1386']
            ANTARCTICA           ANTARCTICA ['P1,1151 1351 1401 1380']
                     .                    . ['P1,1151 1351 1401 1380']
X               RESUME               RRSUMR ['P1,81 1460 249 1498']
                     -                    - ['P1,267 1485 276 1490']
                    De                   De ['P1,293 1468 339 1498']
             nouvelles            nouvelles ['P1,356 1467 519 1497']
              missions             missions ['P1,536 1467 685 1497']
X            r?alis?es            rdalisees ['P1,703 1466 853 1496']
                   sur                  sur ['P1,871 1475 926 1496']
                   les                  les ['P1,942 1466 987 1496']
              terrains             terrains ['P1,1004 1466 1141 1496']
X            s?noniens            senoniens ['P1,1159 1465 1327 1495']
                    du                   du ['P1,1344 1465 1386 1495']
                bassin               bassin ['P1,1402 1464 1512 1495']
                    de                   de ['P1,1528 1464 1566 1494']
X           l'archipel           I'archipel ['P1,1583 1464 1744 1502']
                    de                   de ['P1,1760 1464 1798 1494']
                 James                James ['P1,1814 1464 1922 1494']
                  Ross                 Ross ['P1,1939 1464 2026 1500']
                     ,                    , ['P1,1939 1464 2026 1500']
                    en                   en ['P1,2042 1473 2082 1494']
           Antarctique          Antarctique ['P1,80 1510 296 1547']
                     ,                    , ['P1,80 1510 296 1547']
                   ont                  ont ['P1,309 1511 364 1539']
                permis               permis ['P1,377 1509 495 1546']
                    de                   de ['P1,510 1508 549 1539']
X             r?colter             recolter ['P1,562 1508 695 1538']
                    de                   de ['P1,709 1508 747 1538']
              nombreux             nombreux ['P1,760 1507 935 1537']
X            ?chinides            echinides ['P1,948 1507 1116 1537']
                     .                    . ['P1,948 1507 1116 1537']
                     A                    A ['P1,1127 1506 1155 1536']
                partir               partir ['P1,1167 1507 1268 1544']
                    de                   de ['P1,1281 1506 1318 1537']
                    ce                   ce ['P1,1332 1516 1365 1536']
X             mat?riel             mat6riel ['P1,1378 1506 1524 1536']
X               in?dit               inedit ['P1,1537 1506 1646 1542']
                     ,                    , ['P1,1537 1506 1646 1542']
                     5                    5 ['P1,1660 1507 1678 1536']
X              especes              espkces ['P1,1693 1507 1819 1543']
                  sont                 sont ['P1,1834 1508 1905 1536']
X            recens?es            recensees ['P1,1918 1506 2080 1536']
                    en                   en ['P1,82 1562 121 1583']
           Antarctique          Antarctique ['P1,133 1552 340 1589']
                  pour                 pour ['P1,354 1561 434 1589']
                    la                   la ['P1,447 1551 480 1581']
              premiere             premiere ['P1,493 1551 650 1589']
                  fois                 fois ['P1,664 1550 723 1580']
                    et                   et ['P1,739 1553 771 1580']
                     4                    4 ['P1,785 1551 804 1580']
                autres               autres ['P1,819 1553 937 1586']
                     ,                    , ['P1,819 1553 937 1586']
X                 d?ja                 deja ['P1,951 1550 1022 1587']
X            recens?es            recensdes ['P1,1035 1551 1199 1580']
                   par                  par ['P1,1214 1559 1272 1587']
               Lambert              Lambert ['P1,1285 1549 1434 1579']
                    en                   en ['P1,1448 1559 1488 1579']
                  1910                 1910 ['P1,1504 1550 1593 1585']
                     ,                    , ['P1,1504 1550 1593 1585']
X                 sont                 sant ['P1,1608 1551 1680 1579']
X           retrouv?es           retrouvees ['P1,1693 1550 1875 1579']
                    et                   et ['P1,1890 1551 1921 1579']
X             r?vis?es             reviews. ['P1,1935 1549 2080 1579']
.                    .                      ['P1,1935 1549 2080 1579']
                   Les                  Les ['P1,82 1595 140 1625']
                formes               formes ['P1,161 1595 276 1625']
X             in?dites             inedites ['P1,297 1594 434 1624']
                    en                   en ['P1,456 1604 496 1624']
           Antarctique          Antarctique ['P1,515 1594 724 1630']
           comprennent          comprennent ['P1,745 1595 972 1630']
                  deux                 deux ['P1,993 1592 1075 1622']
             nouvelles            nouvelles ['P1,1094 1592 1254 1622']
               especes              especes ['P1,1276 1593 1412 1629']
                     ,                    , ['P1,1276 1593 1412 1629']
                     H                    H ['P1,1431 1592 1464 1621']
X         uttonechinus         uttoneckinus ['P1,1465 1592 1683 1622']
            antarctica           antarctica ['P1,1704 1592 1878 1622']
