10	Paseo	Paseo	NNP	O	Paseo	nn	13	7	['P1,1444 494 1529 519']
11	del	del	NNP	O	del	nn	13	7	['P1,1538 493 1582 518']
12	Bosque	Bosque	NNP	O	Bosque	nn	13	7	['P1,1592 493 1699 524']
13	s/n	s/n	NNP	O	s/n	appos	8	7	['P1,1709 493 1760 522']
14	,	,	,	O	,	_	0	7	['P1,1709 493 1760 522']

1	1900	1900	CD	DATE	1900	num	3	8	['P1,896 535 965 560']
2	La	La	NNP	O	La	nn	3	8	['P1,976 534 1012 560']
3	Plata	Plate	NNP	O	Plata	_	0	8	['P1,1022 534 1111 563']
4	,	,	,	O	,	_	0	8	['P1,1022 534 1111 563']
5	Argentina	Argentina	NNP	LOCATION	Argentina	appos	3	8	['P1,1119 534 1273 566']

1	(	(	NN	O	(	dep	2	9	['P1,756 595 897 623']
2	Received	Receiued	VBD	O	receive	_	0	9	['P1,756 595 897 623']
3	October	October	NNP	DATE	October	dobj	2	9	['P1,905 595 1020 621']
4	1990	1990	CD	DATE	1990	num	3	9	['P1,1029 595 1110 624']
5	;	;	:	O	;	_	0	9	['P1,1029 595 1110 624']
6	accepted	accepted	VBN	O	accept	partmod	3	9	['P1,1125 594 1251 626']
7	May	May	NNP	DATE	May	tmod	6	9	['P1,1258 595 1323 626']
8	1	1	CD	DATE	1	num	7	9	['P1,1332 595 1344 619']
9	991	991	CD	NUMBER	991	num	10	9	['P1,1350 595 1415 622']
10	)	)	NN	O	)	nsubj	2	9	['P1,1350 595 1415 622']

1	Abstract	Abstract	JJ	O	abstract	_	0	10	['P1,280 661 502 687']
2	-	?	:	O	-	_	0	10	['P1,280 661 502 687']
3	.	?	.	O	.	_	0	10	['P1,280 661 502 687']

1	?	?	NN	O	?	_	0	11	['P1,280 661 502 687']
2	.	O	.	O	.	_	0	11	['P1,280 661 502 687']

1	-	n	:	O	-	_	0	12	['P1,280 661 502 687']
2	On		IN	O	on	_	0	12	['P1,280 661 502 687']
3	the	the	DT	O	the	det	5	12	['P1,512 661 559 687']
4	northern	northern	JJ	O	northern	amod	5	12	['P1,571 661 703 687']
5	bank	bank	NN	O	bank	prep_on	22	12	['P1,713 661 789 687']
6	of	of	IN	O	of	_	0	12	['P1,799 660 829 686']
7	the	the	DT	O	the	det	9	12	['P1,836 662 883 687']
8	Rio	Rio	NNP	LOCATION	Rio	nn	9	12	['P1,895 661 943 686']
9	Atuel	Atuel	NNP	LOCATION	Atuel	prep_of	5	12	['P1,955 661 1048 691']
10	,	,	,	O	,	_	0	12	['P1,955 661 1048 691']
11	Mendoza	Mendoza	NNP	PERSON	Mendoza	nn	12	12	['P1,1060 661 1192 686']
12	province	province	NN	O	province	appos	9	12	['P1,1204 661 1341 692']
13	,	,	,	O	,	_	0	12	['P1,1204 661 1341 692']
14	Argentina	Argentina	NNP	LOCATION	Argentina	nsubjpass	22	12	['P1,1352 660 1517 693']
15	,	,	,	O	,	_	0	12	['P1,1352 660 1517 693']
16	the	the	DT	O	the	det	18	12	['P1,1528 660 1575 686']
17	marine	marine	JJ	O	marine	amod	18	12	['P1,1588 660 1696 686']
18	fossiliferous	fossiliferous	JJ	O	fossiliferous	appos	14	12	['P1,1708 659 1892 685']
19	Mesozoic	Mesozoic	JJ	MISC	mesozoic	amod	18	12	['P1,280 700 414 726']
20	is	is	VBZ	O	be	auxpass	22	12	['P1,430 700 454 726']
21	now	now	RB	DATE	now	advmod	22	12	['P1,469 708 529 726']
22	known	known	VBN	O	know	_	0	12	['P1,545 700 645 726']
23	to	to	TO	O	to	aux	24	12	['P1,659 704 687 726']
24	begin	begin	VB	O	begin	xcomp	22	12	['P1,702 700 785 733']
25	with	with	IN	O	with	_	0	12	['P1,800 701 867 726']
26	Hettangiamlower	Hettangian-lower	NNP	MISC	Hettangiamlower	nn	28	12	['P1,883 700 1151 732']
27	Sinemurian	Sinemurian	NNP	MISC	Sinemurian	nn	28	12	['P1,1166 700 1343 726']
28	strata	strata	NN	O	stratum	prep_with	24	12	['P1,1359 702 1457 725']
29	.	.	.	O	.	_	0	12	['P1,1359 702 1457 725']

1	Traditionally	Traditionally	RB	O	traditionally	advmod	11	13	['P1,1488 699 1699 731']
2	,	,	,	O	,	_	0	13	['P1,1488 699 1699 731']
3	the	the	DT	O	the	det	6	13	['P1,1714 699 1762 724']
4	marine	marine	JJ	O	marine	amod	6	13	['P1,1780 700 1891 725']
5	Jurassic	Jurassic	JJ	MISC	jurassic	amod	6	13	['P1,277 741 405 766']
6	sequence	sequence	NN	O	sequence	nsubjpass	11	13	['P1,415 748 551 773']
7	in	in	IN	O	in	_	0	13	['P1,562 741 591 766']
8	the	the	DT	O	the	det	9	13	['P1,601 741 648 767']
9	area	area	NN	O	area	prep_in	6	13	['P1,659 749 726 767']
10	was	was	VBD	O	be	auxpass	11	13	['P1,737 748 795 767']
11	believed	believed	VBN	O	believe	_	0	13	['P1,806 740 931 766']
12	to	to	TO	O	to	aux	13	13	['P1,943 744 970 766']
13	start	start	VB	O	start	xcomp	11	13	['P1,982 744 1054 766']
14	with	with	IN	O	with	_	0	13	['P1,1065 741 1131 766']
15	upper	upper	JJ	O	upper	amod	17	13	['P1,1144 749 1229 772']
16	Sinemurian	Sinemurian	JJ	MISC	sinemurian	amod	17	13	['P1,1241 739 1418 766']
17	levels	levels	NNS	O	level	prep_with	13	13	['P1,1431 740 1525 766']
18	.	.	.	O	.	_	0	13	['P1,1431 740 1525 766']

1	Representatives	Representatives	NNS	O	representative	nsubj	44	14	['P1,1548 740 1794 771']
2	of	of	IN	O	of	_	0	14	['P1,1805 739 1836 765']
3	the	the	DT	O	the	det	4	14	['P1,1843 739 1891 765']
4	genera	genera	NN	O	genus	prep_of	1	14	['P1,279 788 383 812']
